Start, End, Winner, BTank 1, BTank 2, BDps 1, BDps 2, BSupport 1, BSupport 2, RTank 1, RTank 2, RDps 1, RDps 2, RSupport 1, RSupport 2, BTank 1 Before Ult %, BTank 2 Before Ult %, BDps 1 Before Ult %, BDps 2 Before Ult %, BSupport 1 Before Ult %, BSupport 2 Before Ult %, RTank 1 Before Ult %, RTank 2 Before Ult %, RDps 1 Before Ult %, RDps 2 Before Ult %, RSupport 1 Before Ult %, RSupport 2 Before Ult %, Blue Ults Used, Red Ult Used, BTank 1 After Ult %, BTank 2 After Ult %, BDps 1 After Ult %, BDps 2 After Ult %, BSupport 1 After Ult %, BSupport 2 After Ult %, RTank 1 After Ult %, RTank 2 After Ult %, RDps 1 After Ult %, RDps 2 After Ult %, RSupport 1 After Ult %, RSupport 2 After Ult %, First Ult Team, First Ult Caster, First Kill Team, First Kill Target, Blue Kills, Red Kills,  
0:0:57,0:1:3,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, symmetra, lucio, moira, 25,10,9,3,3,2,4,15,25,8,5,13,,,44,24,11,18,27,5,13,33,6,27,6,42,Null,Null,red,sigma,0,3
0:1:34,0:1:46,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, symmetra, lucio, moira, 75,44,24,18,31,14,33,66,41,39,37,68,,,89,47,64,33,26,17,39,91,99,42,45,86,Null,Null,red,symmetra,2,3
0:2:4,0:2:15,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, symmetra, lucio, moira, 47,53,88,37,39,21,50,97,100,49,56,92,moira ,doomfist ,6,58,100,45,59,26,63,0,0,70,85,100,blue,moira,red,symmetra,0,5
0:2:38,0:2:53,blue,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, symmetra, lucio, moira, 5,65,100,54,67,31,69,3,7,77,90,100,pharah ,symmetra ,59,1,using,58,100,42,74,66,24,87,93,13,red,symmetra,blue,pharah,6,0
0:3:28,0:4:3,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, symmetra, lucio, moira, 78,99,35,66,100,50,88,94,34,97,100,23,mercy orisa moira ,moira sigma orisa ,4,2,78,2,13,64,0,0,16,12,100,74,blue,mercy,red,sigma,1,6
0:4:3,0:4:33,red,reinhardt, wrecking_ball, pharah, reaper, mercy, moira, orisa, sigma, soldier_76, symmetra, lucio, moira, 4,1,77,2,13,63,using,0,16,12,100,74,pharah ,lucio ,24,20,2,30,44,84,36,61,45,34,22,100,red,lucio,red,soldier_76,1,6
0:5:32,0:6:0,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, pharah, sombra, mercy, moira, 1,4,4,2,2,2,2,1,16,2,6,15,,,50,31,28,27,32,27,13,16,0,16,33,68,Null,Null,red,sombra,4,1
0:6:24,0:6:38,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, pharah, reaper, lucio, moira, 83,46,35,37,55,41,24,52,15,29,2,92,moira ,pharah ,0,72,62,67,73,71,38,92,57,62,18,2,red,pharah,blue,reaper,6,2
0:7:2,0:7:24,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 16,44,69,84,84,78,45,100,63,67,25,5,,moira ,77,100,100,100,100,100,65,0,100,87,47,16,red,moira,blue,orisa,6,0
0:7:44,0:8:4,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 84,100,100,100,100,100,6,22,100,91,50,23,orisa reaper sigma doomfist moira ,reaper ,using,1,using,using,100,11,100,47,1,95,57,28,blue,orisa,blue,reaper,5,0
0:8:57,0:9:52,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 19,5,8,7,7,2,8,17,12,6,6,3,moira sigma ,moira ,62,73,65,15,100,100,79,33,73,62,100,90,blue,moira,blue,sigma,9,2
